,customer_id,loyalty_score,product_id,product_category
0,C5,7,P09,house
1,C5,7,P04,house
2,C5,7,P11,house
3,C7,3,P25,fruit_veg
4,C11,4,P10,house
5,C11,4,P10,house
6,C11,4,P06,house
7,C12,8,P42,food
8,C14,3,P59,food
9,C14,3,P51,food
10,C14,3,P50,food
11,C19,6,P35,sweets
12,C19,6,P35,sweets
13,C20,2,P31,fruit_veg
14,C23,10,P33,fruit_veg
15,C23,10,P34,fruit_veg
16,C23,10,P23,fruit_veg
17,C28,3,P62,bws
18,C32,3,P47,food
19,C43,10,P31,fruit_veg
20,C43,10,P34,fruit_veg
21,C50,8,P23,fruit_veg
22,C50,8,P26,fruit_veg
23,C50,8,P26,fruit_veg
24,C67,4,P03,house
25,C67,4,P05,house
26,C70,9,P05,house
27,C70,9,P11,house
28,C70,9,P03,house
29,C78,9,P03,house
30,C78,9,P05,house
31,C85,8,P39,sweets
32,C85,8,P40,sweets
33,C86,8,P33,fruit_veg
34,C97,9,P24,fruit_veg
35,C97,9,P22,fruit_veg
36,C99,9,P32,fruit_veg
37,C103,7,P28,fruit_veg
38,C104,7,P22,fruit_veg
39,C104,7,P27,fruit_veg
40,C104,7,P24,fruit_veg
41,C107,3,P28,fruit_veg
42,C108,8,P35,sweets
43,C110,3,P61,bws
44,C110,3,P64,bws
45,C110,3,P63,bws
46,C114,3,P56,food
47,C114,3,P54,food
48,C114,3,P42,food
49,C121,10,P36,sweets
50,C121,10,P37,sweets
51,C123,3,P39,sweets
52,C123,3,P38,sweets
53,C134,6,P04,house
54,C134,6,P07,house
55,C134,6,P05,house
56,C1,7,P59,food
57,C2,4,P60,food
58,C2,4,P50,food
59,C2,4,P50,food
60,C5,7,P02,house
61,C5,7,P05,house
62,C9,8,P32,fruit_veg
63,C9,8,P26,fruit_veg
64,C22,1,P57,food
65,C25,9,P37,sweets
66,C25,9,P35,sweets
67,C25,9,P37,sweets
68,C27,10,P38,sweets
69,C27,10,P37,sweets
70,C38,7,P64,bws
71,C38,7,P63,bws
72,C38,7,P63,bws
73,C45,10,P49,food
74,C45,10,P57,food
75,C45,10,P45,food
76,C57,2,P07,house
77,C61,4,P25,fruit_veg
78,C69,7,P57,food
79,C69,7,P57,food
80,C69,7,P52,food
81,C70,9,P63,bws
82,C75,8,P36,sweets
83,C75,8,P36,sweets
84,C75,8,P36,sweets
85,C82,9,P32,fruit_veg
86,C82,9,P33,fruit_veg
87,C90,3,P60,food
88,C90,3,P41,food
89,C99,9,P33,fruit_veg
90,C99,9,P33,fruit_veg
91,C99,9,P25,fruit_veg
92,C110,3,P64,bws
93,C112,3,P43,food
94,C117,10,P33,fruit_veg
95,C117,10,P24,fruit_veg
96,C128,5,P59,food
97,C128,5,P58,food
98,C15,6,P64,bws
99,C17,2,P59,food
100,C17,2,P53,food
101,C25,9,P48,food
102,C35,7,P60,food
103,C35,7,P55,food
104,C36,5,P40,sweets
105,C36,5,P37,sweets
106,C38,7,P63,bws
107,C38,7,P61,bws
108,C38,7,P64,bws
109,C39,2,P42,food
110,C53,4,P09,house
111,C57,2,P10,house
112,C57,2,P07,house
113,C60,10,P49,food
114,C67,4,P13,clothes
115,C67,4,P18,clothes
116,C67,4,P21,clothes
117,C71,8,P46,food
118,C71,8,P60,food
119,C73,2,P43,food
120,C74,5,P27,fruit_veg
121,C74,5,P27,fruit_veg
122,C74,5,P34,fruit_veg
123,C86,8,P49,food
124,C86,8,P44,food
125,C86,8,P60,food
126,C99,9,P26,fruit_veg
127,C110,3,P63,bws
128,C110,3,P61,bws
129,C112,3,P46,food
130,C112,3,P54,food
131,C112,3,P52,food
